Photo,Timestamp,Estimated Temperature Point 1 (°),Estimated Temperature Point 2 (°),Estimated Temperature Point 3 (°),Estimated Temperature Point 4 (°),Estimated Temperature Point 5 (°)
image_000.png,2025-03-03 17:28:14,16.64,17.16,16.64,17.16,16.90
image_001.png,2025-03-03 17:28:16,16.90,17.41,17.16,17.16,17.16
image_002.png,2025-03-03 17:28:18,24.14,41.72,28.02,38.36,35.52
image_003.png,2025-03-03 17:28:20,16.38,17.67,15.34,16.64,17.67
image_004.png,2025-03-03 17:28:22,35.52,45.34,33.97,38.10,34.22
image_005.png,2025-03-03 17:28:24,39.40,38.88,28.02,48.45,38.36
image_006.png,2025-03-03 17:28:26,19.48,17.16,17.67,15.86,17.41
image_007.png,2025-03-03 17:28:28,16.64,24.66,16.64,38.10,33.45
image_008.png,2025-03-03 17:28:30,35.52,31.12,16.12,37.07,32.67
image_009.png,2025-03-03 17:28:32,17.93,20.78,17.41,16.64,20.26
image_010.png,2025-03-03 17:28:34,16.38,17.16,16.64,16.90,16.64
image_011.png,2025-03-03 17:28:37,16.38,17.16,16.38,17.16,16.90
image_012.png,2025-03-03 17:28:39,16.38,16.90,16.64,17.16,17.16
image_013.png,2025-03-03 17:28:41,16.64,16.90,16.64,17.16,17.16
